Ocean,Species,Stock,Year,Variable,Value,Model,Run,RFMO
Atlantic,ALB,North Atlantic,2005,Fratio,0.880713757,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,2006,Fratio,0.919627283,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,2007,Fratio,0.546725221,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,2008,Fratio,0.492561989,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,2009,Fratio,0.357057089,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,2010,Fratio,0.435676829,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,2011,Fratio,0.43173201,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,2012,Fratio,0.537803724,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,2013,Fratio,0.507043609,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,2014,Fratio,0.537875883,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,2015,Fratio,NA,BDM,Run1,ICCAT
Atlantic,ALB,South Atlantic,1956,Bratio,1.80E+00,ASPIC,Run2,ICCAT
Atlantic,ALB,South Atlantic,1957,Bratio,1.90E+00,ASPIC,Run2,ICCAT
Atlantic,ALB,South Atlantic,1958,Bratio,1.94E+00,ASPIC,Run2,ICCAT
Atlantic,ALB,South Atlantic,1959,Bratio,1.96E+00,ASPIC,Run2,ICCAT
Atlantic,ALB,South Atlantic,1960,Bratio,1.94E+00,ASPIC,Run2,ICCAT
Atlantic,ALB,South Atlantic,1961,Bratio,1.87E+00,ASPIC,Run2,ICCAT
Atlantic,ALB,South Atlantic,1962,Bratio,1.84E+00,ASPIC,Run2,ICCAT
Atlantic,ALB,South Atlantic,1963,Bratio,1.74E+00,ASPIC,Run2,ICCAT
Atlantic,ALB,South Atlantic,1964,Bratio,1.70E+00,ASPIC,Run2,ICCAT
Atlantic,ALB,South Atlantic,1965,Bratio,1.59E+00,ASPIC,Run2,ICCAT
Atlantic,ALB,South Atlantic,1966,Bratio,1.47E+00,ASPIC,Run2,ICCAT
Atlantic,ALB,South Atlantic,1967,Bratio,1.42E+00,ASPIC,Run2,ICCAT
Atlantic,ALB,South Atlantic,1968,Bratio,1.50E+00,ASPIC,Run2,ICCAT
Atlantic,ALB,South Atlantic,1969,Bratio,1.46E+00,ASPIC,Run2,ICCAT
Atlantic,ALB,South Atlantic,1970,Bratio,1.39E+00,ASPIC,Run2,ICCAT
Atlantic,ALB,South Atlantic,1971,Bratio,1.40E+00,ASPIC,Run2,ICCAT
Atlantic,ALB,South Atlantic,1972,Bratio,1.39E+00,ASPIC,Run2,ICCAT
Atlantic,ALB,South Atlantic,1973,Bratio,1.29E+00,ASPIC,Run2,ICCAT
Atlantic,ALB,South Atlantic,1974,Bratio,1.27E+00,ASPIC,Run2,ICCAT
Atlantic,ALB,South Atlantic,1975,Bratio,1.35E+00,ASPIC,Run2,ICCAT
Atlantic,ALB,South Atlantic,1976,Bratio,1.43E+00,ASPIC,Run2,ICCAT
Atlantic,ALB,South Atlantic,1977,Bratio,1.47E+00,ASPIC,Run2,ICCAT
Atlantic,ALB,South Atlantic,1978,Bratio,1.48E+00,ASPIC,Run2,ICCAT
Atlantic,ALB,South Atlantic,1979,Bratio,1.47E+00,ASPIC,Run2,ICCAT
Atlantic,ALB,South Atlantic,1980,Bratio,1.46E+00,ASPIC,Run2,ICCAT
Atlantic,ALB,South Atlantic,1981,Bratio,1.46E+00,ASPIC,Run2,ICCAT
Atlantic,ALB,South Atlantic,1982,Bratio,1.44E+00,ASPIC,Run2,ICCAT
Atlantic,ALB,South Atlantic,1983,Bratio,1.37E+00,ASPIC,Run2,ICCAT
Atlantic,ALB,South Atlantic,1984,Bratio,1.48E+00,ASPIC,Run2,ICCAT
Atlantic,ALB,South Atlantic,1985,Bratio,1.55E+00,ASPIC,Run2,ICCAT
Atlantic,ALB,South Atlantic,1986,Bratio,1.44E+00,ASPIC,Run2,ICCAT
Atlantic,ALB,South Atlantic,1987,Bratio,1.28E+00,ASPIC,Run2,ICCAT
Atlantic,ALB,South Atlantic,1988,Bratio,1.12E+00,ASPIC,Run2,ICCAT
Atlantic,ALB,South Atlantic,1989,Bratio,1.10E+00,ASPIC,Run2,ICCAT
Atlantic,ALB,South Atlantic,1990,Bratio,1.11E+00,ASPIC,Run2,ICCAT
Atlantic,ALB,South Atlantic,1991,Bratio,1.11E+00,ASPIC,Run2,ICCAT
Atlantic,ALB,South Atlantic,1992,Bratio,1.13E+00,ASPIC,Run2,ICCAT
Atlantic,ALB,South Atlantic,1993,Bratio,1.03E+00,ASPIC,Run2,ICCAT
Atlantic,ALB,South Atlantic,1994,Bratio,9.78E-01,ASPIC,Run2,ICCAT
Atlantic,ALB,South Atlantic,1995,Bratio,8.93E-01,ASPIC,Run2,ICCAT
Atlantic,ALB,South Atlantic,1996,Bratio,9.01E-01,ASPIC,Run2,ICCAT
Atlantic,ALB,South Atlantic,1997,Bratio,8.99E-01,ASPIC,Run2,ICCAT
Atlantic,ALB,South Atlantic,1998,Bratio,9.02E-01,ASPIC,Run2,ICCAT
Atlantic,ALB,South Atlantic,1999,Bratio,8.73E-01,ASPIC,Run2,ICCAT
Atlantic,ALB,South Atlantic,2000,Bratio,8.79E-01,ASPIC,Run2,ICCAT
Atlantic,ALB,South Atlantic,2001,Bratio,8.37E-01,ASPIC,Run2,ICCAT
Atlantic,ALB,South Atlantic,2002,Bratio,6.89E-01,ASPIC,Run2,ICCAT
Atlantic,ALB,South Atlantic,2003,Bratio,6.05E-01,ASPIC,Run2,ICCAT
Atlantic,ALB,South Atlantic,2004,Bratio,5.47E-01,ASPIC,Run2,ICCAT
Atlantic,ALB,South Atlantic,2005,Bratio,5.50E-01,ASPIC,Run2,ICCAT
Atlantic,ALB,South Atlantic,2006,Bratio,6.08E-01,ASPIC,Run2,ICCAT
Atlantic,ALB,South Atlantic,2007,Bratio,6.03E-01,ASPIC,Run2,ICCAT
Atlantic,ALB,South Atlantic,2008,Bratio,6.58E-01,ASPIC,Run2,ICCAT
Atlantic,ALB,South Atlantic,2009,Bratio,7.46E-01,ASPIC,Run2,ICCAT
Atlantic,ALB,South Atlantic,2010,Bratio,8.06E-01,ASPIC,Run2,ICCAT
Atlantic,ALB,South Atlantic,2011,Bratio,9.15E-01,ASPIC,Run2,ICCAT
Atlantic,ALB,South Atlantic,2012,Bratio,9.69E-01,ASPIC,Run2,ICCAT
Atlantic,ALB,South Atlantic,2013,Bratio,1.01E+00,ASPIC,Run2,ICCAT
Atlantic,ALB,South Atlantic,2014,Bratio,1.13E+00,ASPIC,Run2,ICCAT
Atlantic,ALB,South Atlantic,1956,Bratio,2.45E+00,ASPIC,Run6,ICCAT
Atlantic,ALB,South Atlantic,1957,Bratio,2.51E+00,ASPIC,Run6,ICCAT
Atlantic,ALB,South Atlantic,1958,Bratio,2.55E+00,ASPIC,Run6,ICCAT
Atlantic,ALB,South Atlantic,1959,Bratio,2.58E+00,ASPIC,Run6,ICCAT
Atlantic,ALB,South Atlantic,1960,Bratio,2.57E+00,ASPIC,Run6,ICCAT
Atlantic,ALB,South Atlantic,1961,Bratio,2.51E+00,ASPIC,Run6,ICCAT
Atlantic,ALB,South Atlantic,1962,Bratio,2.46E+00,ASPIC,Run6,ICCAT
Atlantic,ALB,South Atlantic,1963,Bratio,2.35E+00,ASPIC,Run6,ICCAT
Atlantic,ALB,South Atlantic,1964,Bratio,2.27E+00,ASPIC,Run6,ICCAT
Atlantic,ALB,South Atlantic,1965,Bratio,2.13E+00,ASPIC,Run6,ICCAT
Atlantic,ALB,South Atlantic,1966,Bratio,1.98E+00,ASPIC,Run6,ICCAT
Atlantic,ALB,South Atlantic,1967,Bratio,1.88E+00,ASPIC,Run6,ICCAT
Atlantic,ALB,South Atlantic,1968,Bratio,1.91E+00,ASPIC,Run6,ICCAT
Atlantic,ALB,South Atlantic,1969,Bratio,1.84E+00,ASPIC,Run6,ICCAT
Atlantic,ALB,South Atlantic,1970,Bratio,1.75E+00,ASPIC,Run6,ICCAT
Atlantic,ALB,South Atlantic,1971,Bratio,1.72E+00,ASPIC,Run6,ICCAT
Atlantic,ALB,South Atlantic,1972,Bratio,1.69E+00,ASPIC,Run6,ICCAT
